Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:25:12	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-108.824E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:24:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-5.9999996E-9	744.60399E-3	-79.707413E+0	25.304529E-12	124.73840E+0	850.20804E-3	13.209610E+0	9.5660034E-12	-165.45288E+0
-6.1176477E-9	709.95027E-3	-80.854996E+0	16.700087E-12	90.642502E+0	817.81924E-3	18.331896E+0	19.815531E-12	-144.70941E+0
-6.2352941E-9	707.44628E-3	-33.191418E+0	11.814610E-12	122.94480E+0	791.42815E-3	72.126045E+0	26.448345E-12	-129.71915E+0
-6.3529404E-9	730.68953E-3	-24.551973E+0	19.085143E-12	121.59460E+0	768.14121E-3	-37.209293E+0	31.444750E-12	-220.44124E+0
-6.4705885E-9	738.77716E-3	-31.630569E+0	29.039398E-12	89.378883E+0	744.66503E-3	49.846039E+0	17.948067E-12	-125.28211E+0
-6.5882348E-9	715.60162E-3	-77.098709E+0	20.811946E-12	46.154144E+0	720.72393E-3	-22.935663E+0	20.798308E-12	-149.86044E+0
-6.7058830E-9	699.35966E-3	8.3787184E+0	24.683606E-12	91.339539E+0	705.15138E-3	-83.876152E+0	34.322677E-12	-242.07204E+0
-6.8235293E-9	699.63074E-3	-54.483109E+0	28.527271E-12	890.78331E-3	677.95616E-3	-81.882866E+0	21.048371E-12	-211.58943E+0
-6.9411756E-9	681.13357E-3	-72.405876E+0	20.484350E-12	88.092903E+0	643.84001E-3	-11.604886E+0	21.516153E-12	-174.23177E+0
-7.0588237E-9	654.06442E-3	32.401573E+0	21.306863E-12	41.413342E+0	625.36210E-3	-4.1095080E+0	24.704719E-12	-140.94382E+0
-7.1764701E-9	641.69413E-3	-123.68369E+0	10.723178E-12	17.955572E+0	610.31598E-3	-24.840847E+0	25.129903E-12	-192.21165E+0
-7.2941182E-9	619.84962E-3	29.163580E+0	22.966011E-12	-7.6627412E+0	588.42570E-3	-38.761974E+0	26.435338E-12	-165.59969E+0
-7.4117645E-9	582.77535E-3	-85.425949E+0	28.285379E-12	-107.77481E+0	555.15492E-3	11.253919E+0	14.275223E-12	-144.16130E+0
-7.5294126E-9	536.54075E-3	3.8078339E+0	32.008313E-12	-43.870144E+0	524.13428E-3	-61.977352E+0	20.503066E-12	-175.25250E+0
-7.6470590E-9	486.58448E-3	-10.419052E+0	15.424731E-12	-18.986286E+0	487.89519E-3	-12.912965E+0	21.932817E-12	-125.32292E+0
-7.7647053E-9	454.80603E-3	-50.132538E+0	20.407110E-12	-74.533424E+0	454.40623E-3	30.706640E+0	20.741037E-12	-62.991585E+0
-7.8823534E-9	440.86611E-3	27.306257E+0	11.239353E-12	-14.529462E+0	451.68611E-3	-21.481560E+0	20.125580E-12	-106.78655E+0
-7.9999998E-9	427.29187E-3	54.185120E+0	12.369677E-12	14.979531E+0	443.25763E-3	13.054740E+0	33.083952E-12	-63.025654E+0
-8.1176479E-9	405.24495E-3	-110.08744E+0	32.346452E-12	-45.220181E+0	415.95104E-3	-47.796677E+0	12.901426E-12	-152.72475E+0
-8.2352942E-9	389.19881E-3	1.1669998E+0	20.844645E-12	6.2450652E+0	376.82343E-3	2.5020454E+0	17.881727E-12	-148.30890E+0
-8.3529406E-9	392.18596E-3	-63.977661E+0	18.449233E-12	-38.131802E+0	349.85709E-3	5.6106629E+0	17.033534E-12	-155.34764E+0
-8.4705887E-9	389.32800E-3	106.37700E+0	19.033667E-12	60.425438E+0	323.20151E-3	-12.299567E+0	14.825099E-12	-142.53551E+0
