Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:24:04	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-107.146E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:23:53	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-3.5294114E-9	105.56997E-3	-620.54271E-3	39.040053E-9	-156.16104E+0	1.5920343E+0	-36.820042E+0	30.572586E-12	-134.86223E+0
-3.6470587E-9	105.08474E-3	-449.40510E-3	37.026584E-9	-145.43181E+0	1.5697845E+0	-39.603680E+0	15.855374E-12	-187.81502E+0
-3.7647059E-9	111.05193E-3	-718.77730E-3	34.644128E-9	-166.38858E+0	1.5456502E+0	46.367374E+0	22.829912E-12	-155.58244E+0
-3.8823531E-9	118.76882E-3	-1.0764754E+0	31.896665E-9	-192.21823E+0	1.5148798E+0	-25.765156E+0	20.476081E-12	-172.14207E+0
-4.0000003E-9	133.55002E-3	-1.9552667E+0	28.216879E-9	-232.05244E+0	1.4883987E+0	-48.747906E+0	20.715254E-12	-204.18698E+0
-4.1176476E-9	144.36901E-3	-3.0139334E+0	24.701578E-9	-262.49057E+0	1.4603465E+0	47.328289E+0	10.397941E-12	-142.03094E+0
-4.2352939E-9	134.15629E-3	-2.5650086E+0	21.605990E-9	-281.80234E+0	1.4428666E+0	-46.774117E+0	20.798628E-12	-187.85014E+0
-4.3529411E-9	137.36013E-3	-2.2516813E+0	20.130818E-9	-264.08896E+0	1.4331959E+0	-41.503582E+0	15.914152E-12	-168.99429E+0
-4.4705883E-9	152.04264E-3	-4.0736127E+0	18.106126E-9	-290.81436E+0	1.4106863E+0	35.886097E+0	19.114018E-12	-158.45291E+0
-4.5882356E-9	179.92707E-3	-8.0730877E+0	15.054134E-9	-305.17578E+0	1.3764049E+0	-32.428642E+0	11.555553E-12	-167.69806E+0
-4.7058828E-9	181.35682E-3	-10.206499E+0	11.519406E-9	-305.17578E+0	1.3519527E+0	13.992042E+0	28.747525E-12	-140.39232E+0
-4.8235291E-9	171.01136E-3	-3.7766156E+0	9.1885450E-9	-305.17578E+0	1.3389729E+0	8.1272039E+0	32.871303E-12	-124.56452E+0
-4.9411772E-9	180.46825E-3	-180.65673E-3	6.2977770E-9	-226.93323E+0	1.3072821E+0	-25.752096E+0	17.733204E-12	-143.99995E+0
-5.0588236E-9	228.46068E-3	16.761038E+0	2.9834353E-9	92.331848E+0	1.2690028E+0	-31.476215E+0	30.146767E-12	-125.01734E+0
-5.1764699E-9	242.47029E-3	65.758316E+0	932.26749E-12	252.00687E+0	1.2587610E+0	-57.422947E+0	18.891591E-12	-197.99828E+0
-5.2941180E-9	267.18903E-3	29.738415E+0	560.64442E-12	305.17578E+0	1.2386215E+0	-5.8215013E+0	9.7709826E-12	-166.65071E+0
-5.4117644E-9	299.68822E-3	52.650661E+0	520.91359E-12	305.17578E+0	1.1957631E+0	-23.923279E+0	20.282909E-12	-169.92915E+0
