Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:10	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.562E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:52	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-8.3921572E-9	161.18978E-3	988.69468E-12	-129.34737E+0	177.05485E-3	6.3681686E-12	37.712830E+0
-8.5294110E-9	161.22080E-3	1.0708167E-9	-151.32512E+0	175.26703E-3	3.2448627E-12	2.2332420E+0
-8.6666665E-9	161.14552E-3	1.0853390E-9	-152.58789E+0	196.67409E-3	5.7909901E-12	-28.846296E+0
-8.8039220E-9	162.01630E-3	1.0392132E-9	-152.58789E+0	197.20815E-3	9.1329505E-12	-35.570606E+0
-8.9411758E-9	161.42018E-3	911.23259E-12	-152.58789E+0	191.67836E-3	4.2573974E-12	-20.217827E+0
-9.0784313E-9	161.29760E-3	725.14750E-12	-152.58789E+0	190.43376E-3	10.007660E-12	-31.131035E+0
-9.2156869E-9	161.52954E-3	505.62243E-12	-152.58789E+0	194.88271E-3	9.8733443E-12	-55.220043E+0
-9.3529406E-9	163.06916E-3	332.73317E-12	7.6443334E+0	191.64276E-3	5.3434943E-12	-47.572552E+0
-9.4901962E-9	162.36216E-3	310.46690E-12	101.45067E+0	188.19073E-3	4.8247435E-12	-61.151199E+0
-9.6274517E-9	162.73600E-3	405.43269E-12	-152.58789E+0	188.49589E-3	4.1098171E-12	-54.701946E+0
-9.7647055E-9	163.35957E-3	362.27382E-12	-152.58789E+0	193.77238E-3	7.9221222E-12	-59.222679E+0
-9.9019610E-9	162.83214E-3	214.67168E-12	-152.58789E+0	188.26751E-3	5.7497705E-12	-41.629978E+0
-10.039217E-9	164.74000E-3	37.772691E-12	-65.808258E+0	184.79767E-3	6.3204351E-12	-89.460144E+0
-10.176470E-9	165.37832E-3	73.556758E-12	-152.58789E+0	185.28189E-3	7.2411474E-12	-78.527458E+0
-10.313726E-9	164.75981E-3	85.638670E-12	-152.58789E+0	181.67165E-3	5.7130676E-12	-40.267799E+0
-10.450980E-9	163.56099E-3	74.022975E-12	-151.57063E+0	181.61266E-3	7.9278190E-12	-67.534027E+0
-10.588235E-9	164.77256E-3	77.758529E-12	-152.58789E+0	195.76822E-3	5.0550033E-12	-66.238167E+0
-10.725491E-9	166.85842E-3	83.164843E-12	-107.30061E+0	198.99902E-3	6.9435512E-12	-81.486626E+0
-10.862744E-9	166.46880E-3	41.556460E-12	34.466984E+0	190.58177E-3	7.9212453E-12	-95.056190E+0
-11.000000E-9	166.74092E-3	32.538430E-12	-3.2041957E+0	210.78898E-3	5.8591612E-12	-69.676811E+0
-11.137256E-9	168.36599E-3	23.226469E-12	70.809967E+0	218.73067E-3	9.7111147E-12	-30.796621E+0
-11.274509E-9	168.19713E-3	33.702499E-12	62.176708E+0	207.62126E-3	8.9454052E-12	-51.866554E+0
-11.411765E-9	172.88056E-3	6.9303834E-12	28.239439E+0	201.04574E-3	5.3642321E-12	-88.029167E+0
-11.549020E-9	179.58476E-3	7.1111151E-12	-6.1340775E+0	230.01963E-3	6.2691029E-12	-67.191620E+0
-11.686274E-9	178.53139E-3	8.3827754E-12	11.635826E+0	247.04793E-3	5.4911995E-12	-67.322968E+0
-11.823530E-9	172.03522E-3	7.2835132E-12	-43.708817E+0	277.01923E-3	6.4369027E-12	-75.290878E+0
-11.960783E-9	174.36726E-3	5.2402123E-12	-5.5418425E+0	278.13670E-3	9.6404299E-12	-102.63081E+0
-12.098039E-9	165.71654E-3	5.6361803E-12	-23.274559E+0	296.62171E-3	9.8629039E-12	-103.65932E+0
-12.235295E-9	157.31099E-3	7.4199613E-12	8.5313253E+0	314.50859E-3	6.0651848E-12	-83.420776E+0
-12.372548E-9	156.16709E-3	7.1662364E-12	4.9703021E+0	315.62552E-3	7.0240411E-12	-91.833672E+0
-12.509804E-9	164.89613E-3	4.3440290E-12	-8.5964184E+0	299.99846E-3	5.1894261E-12	-99.377373E+0
-12.647059E-9	160.20711E-3	5.7884782E-12	-1.0831522E+0	328.57919E-3	7.1091908E-12	-80.471214E+0
-12.784313E-9	151.30921E-3	4.1935843E-12	-32.143837E+0	367.84565E-3	4.6402231E-12	-80.772987E+0
-12.921569E-9	157.17570E-3	4.3227895E-12	986.48453E-3	402.44395E-3	4.1051572E-12	-95.343140E+0
-13.058824E-9	180.53742E-3	7.0544356E-12	-38.775509E+0	383.07595E-3	5.5550369E-12	-81.072060E+0
-13.196078E-9	174.40389E-3	7.0432779E-12	-22.107321E+0	335.29001E-3	7.3069788E-12	-71.912346E+0
-13.333334E-9	162.80924E-3	9.4340291E-12	-27.605972E+0	345.67821E-3	5.8607147E-12	-57.300694E+0
-13.470589E-9	159.06829E-3	5.3098086E-12	-24.974957E+0	345.27335E-3	9.7988648E-12	-63.545113E+0
-13.607843E-9	188.75121E-3	4.4479624E-12	-7.0862589E+0	288.79496E-3	7.6902044E-12	-53.131622E+0
-13.745098E-9	194.65077E-3	5.3627081E-12	-18.805111E+0	242.28415E-3	7.5357099E-12	-67.328934E+0
-13.882352E-9	170.79365E-3	6.2747056E-12	-18.144789E+0	285.38209E-3	4.7026515E-12	-76.744125E+0
-14.019608E-9	148.13945E-3	7.1475330E-12	-11.277227E+0	294.59330E-3	6.8304780E-12	-71.093216E+0
-14.156863E-9	132.63194E-3	5.2270449E-12	-45.272423E+0	212.86774E-3	5.5513931E-12	-87.155373E+0
-14.294117E-9	100.87229E-3	5.3238538E-12	-12.532745E+0	152.32748E-3	5.6682302E-12	-89.001938E+0
-14.431373E-9	77.609763E-3	3.5138611E-12	-26.287518E+0	152.31833E-3	4.8251824E-12	-63.642788E+0
-14.568628E-9	39.159648E-3	7.3593007E-12	-21.388103E+0	138.48725E-3	5.3183369E-12	-89.695442E+0
-14.705882E-9	-43.704223E-3	5.9547900E-12	-35.240250E+0	104.63715E-3	7.9047836E-12	-116.81374E+0
-14.843137E-9	-92.338055E-3	3.6030645E-12	-30.287960E+0	94.972230E-3	6.4657112E-12	-93.201645E+0
-14.980394E-9	-27.337138E-3	3.9836745E-12	-42.068642E+0	60.695395E-3	3.8229381E-12	-83.116798E+0
-15.117646E-9	-14.940389E-3	5.1687717E-12	-26.007639E+0	23.242187E-3	7.5356882E-12	-96.168961E+0
-15.254901E-9	-111.08449E-3	3.6221041E-12	-31.463236E+0	18.163044E-3	5.4202541E-12	-98.206223E+0
-15.392157E-9	-146.25651E-3	4.3746430E-12	-27.901022E+0	-31.272378E-3	6.5473894E-12	-82.052872E+0
-15.529412E-9	-82.456969E-3	4.7370662E-12	-43.598862E+0	-126.07829E-3	5.7981038E-12	-105.40431E+0
-15.666668E-9	-56.075037E-3	7.4892965E-12	-20.697510E+0	-161.07737E-3	6.2806609E-12	-70.532928E+0
-15.803920E-9	-97.633876E-3	5.2087779E-12	-22.306253E+0	-134.20105E-3	4.6743191E-12	-59.691635E+0
-15.941175E-9	-133.96962E-3	8.6368595E-12	-32.252296E+0	-184.63898E-3	5.5634828E-12	-93.101952E+0
-16.078431E-9	-176.82241E-3	4.9143393E-12	-35.077061E+0	-260.66792E-3	5.2607818E-12	-79.551315E+0
-16.215687E-9	-182.73519E-3	9.8784687E-12	-43.195023E+0	-263.08694E-3	5.9208996E-12	-79.902130E+0
-16.352942E-9	-148.90544E-3	4.3688881E-12	-47.052723E+0	-256.45703E-3	6.0595231E-12	-57.160824E+0
-16.490198E-9	-167.70884E-3	8.3514628E-12	-40.680687E+0	-302.55380E-3	4.1763299E-12	-101.24389E+0
-16.627450E-9	-264.94548E-3	8.1484108E-12	-35.213280E+0	-353.96069E-3	5.5914743E-12	-91.553429E+0
-16.764705E-9	-322.13795E-3	4.4728214E-12	-29.485550E+0	-373.81592E-3	3.6113053E-12	-83.471527E+0
-16.901961E-9	-313.37482E-3	4.9697425E-12	-33.438622E+0	-405.21547E-3	4.3646488E-12	-78.362556E+0
-17.039216E-9	-356.29424E-3	5.9405905E-12	-51.022190E+0	-426.90378E-3	6.9295520E-12	-93.635895E+0
-17.176472E-9	-462.99538E-3	7.5609120E-12	-27.795444E+0	-410.62674E-3	5.4345963E-12	-88.722855E+0
-17.313724E-9	-506.13761E-3	3.9539838E-12	-52.054283E+0	-417.17070E-3	10.152637E-12	-70.786865E+0
-17.450979E-9	-502.24817E-3	5.8601422E-12	-43.057404E+0	-473.51074E-3	7.6897429E-12	-70.690712E+0
-17.588235E-9	-528.78875E-3	2.5516358E-12	-39.091274E+0	-515.70284E-3	3.7260893E-12	-84.931198E+0
-17.725490E-9	-575.21260E-3	7.7117895E-12	-55.755314E+0	-524.96850E-3	6.6184046E-12	-87.906349E+0
-17.862746E-9	-583.00728E-3	4.3284625E-12	-56.387138E+0	-566.09446E-3	6.4140286E-12	-87.589813E+0
-18.000001E-9	-603.04207E-3	5.4912502E-12	-74.323593E+0	-607.88828E-3	7.3502385E-12	-97.855522E+0
